Time (s) - i - ref (A)	Current (A) - i - ref (A)	Time (s) - i - obs (A)	Current (A) - i - obs (A)
4,112	0	4,112	9,48E-05
4,113	0	4,113	9,19E-05
4,114	0	4,114	8,73E-05
4,115	0	4,115	8,09E-05
4,116	0	4,116	7,28E-05
4,117	0	4,117	6,33E-05
4,118	0	4,118	6,95E-05
4,119	0	4,119	7,38E-05
4,12	0	4,12	7,63E-05
4,121	0	4,121	7,71E-05
4,122	0	4,122	7,63E-05
4,123	0	4,123	7,39E-05
4,124	0	4,124	7,00E-05
4,125	0	4,125	6,47E-05
4,126	0	4,126	5,82E-05
4,127	0	4,127	5,03E-05
4,128	0	4,128	5,54E-05
4,129	0	4,129	5,89E-05
4,13	0	4,13	6,09E-05
4,131	0	4,131	6,15E-05
4,132	0	4,132	6,08E-05
4,133	0	4,133	5,88E-05
4,134	0	4,134	5,57E-05
4,135	0	4,135	5,14E-05
4,136	0	4,136	4,60E-05
4,137	0	4,137	3,97E-05
4,138	0	4,138	4,38E-05
4,139	0	4,139	4,66E-05
4,14	0	4,14	4,83E-05
4,141	0	4,141	4,88E-05
4,142	0	4,142	4,82E-05
4,143	0	4,143	4,66E-05
4,144	0	4,144	4,41E-05
4,145	0	4,145	4,06E-05
4,146	0	4,146	3,62E-05
4,147	0	4,147	3,10E-05
4,148	0	4,148	3,44E-05
4,149	0	4,149	3,67E-05
4,15	0	4,15	3,81E-05
4,151	0	4,151	3,85E-05
4,152	0	4,152	3,81E-05
4,153	0	4,153	3,68E-05
4,154	0	4,154	3,47E-05
4,155	0	4,155	3,19E-05
4,156	0	4,156	2,84E-05
4,157	0	4,157	2,42E-05
4,158	0	4,158	2,69E-05
4,159	0	4,159	2,89E-05
4,16	0	4,16	3,00E-05
4,161	0	4,161	3,03E-05
4,162	0	4,162	3,00E-05
4,163	0	4,163	2,90E-05
4,164	0	4,164	2,73E-05
4,165	0	4,165	2,50E-05
4,166	0	4,166	2,22E-05
4,167	0	4,167	1,88E-05
4,168	0	4,168	2,11E-05
4,169	0	4,169	2,26E-05
4,17	0	4,17	2,36E-05
4,171	0	4,171	2,39E-05
4,172	0	4,172	2,36E-05
4,173	0	4,173	2,28E-05
4,174	0	4,174	2,15E-05
4,175	0	4,175	1,96E-05
4,176	0	4,176	1,73E-05
4,177	0	4,177	1,46E-05
4,178	0	4,178	1,64E-05
4,179	0	4,179	1,77E-05
4,18	0	4,18	1,85E-05
4,181	0	4,181	1,88E-05
4,182	0	4,182	1,86E-05
4,183	0	4,183	1,79E-05
4,184	0	4,184	1,69E-05
4,185	0	4,185	1,54E-05
4,186	0	4,186	1,35E-05
4,187	0	4,187	1,13E-05
4,188	0	4,188	1,28E-05
4,189	0	4,189	1,39E-05
4,19	0	4,19	1,45E-05
4,191	0	4,191	1,48E-05
4,192	0	4,192	1,46E-05
4,193	0	4,193	1,41E-05
4,194	0	4,194	1,32E-05
4,195	0	4,195	1,20E-05
4,196	0	4,196	1,06E-05
4,197	0	4,197	8,76E-06
4,198	0	4,198	1,00E-05
4,199	0	4,199	1,09E-05
4,2	0	4,2	1,14E-05
4,201	0	4,201	1,16E-05
4,202	0	4,202	1,15E-05
4,203	0	4,203	1,11E-05
4,204	0	4,204	1,04E-05
4,205	0	4,205	9,43E-06
4,206	0	4,206	8,23E-06
4,207	0	4,207	6,78E-06
4,208	0	4,208	7,80E-06
4,209	0	4,209	8,51E-06
4,21	0	4,21	8,95E-06
4,211	0	4,211	9,12E-06
4,212	0	4,212	9,03E-06
4,213	0	4,213	8,71E-06
4,214	0	4,214	8,16E-06
4,215	0	4,215	7,39E-06
4,216	0	4,216	6,42E-06
4,217	0	4,217	5,25E-06
4,218	0	4,218	6,08E-06
4,219	0	4,219	6,67E-06
4,22	0	4,22	7,03E-06
4,221	0	4,221	7,17E-06
4,222	0	4,222	7,11E-06
4,223	0	4,223	6,85E-06
4,224	0	4,224	6,41E-06
4,225	0	4,225	5,79E-06
4,226	0	4,226	5,01E-06
4,227	0	4,227	4,07E-06
4,228	0	4,228	4,74E-06
4,229	0	4,229	5,23E-06
4,23	0	4,23	5,52E-06
4,231	0	4,231	5,64E-06
4,232	0	4,232	5,60E-06
4,233	0	4,233	5,40E-06
4,234	0	4,234	5,04E-06
4,235	0	4,235	4,54E-06
4,236	0	4,236	3,91E-06
4,237	0	4,237	3,15E-06
4,238	0	4,238	3,70E-06
4,239	0	4,239	4,10E-06
4,24	0	4,24	4,34E-06
4,241	0	4,241	4,45E-06
4,242	0	4,242	4,41E-06
4,243	0	4,243	4,25E-06
4,244	0	4,244	3,97E-06
4,245	0	4,245	3,56E-06
4,246	0	4,246	3,05E-06
4,247	0	4,247	2,44E-06
4,248	0	4,248	2,89E-06
4,249	0	4,249	3,22E-06
4,25	0	4,25	3,42E-06
4,251	0	4,251	3,50E-06
4,252	0	4,252	3,48E-06
4,253	0	4,253	3,35E-06
4,254	0	4,254	3,12E-06
4,255	0	4,255	2,80E-06
4,256	0	4,256	2,39E-06
4,257	0	4,257	1,90E-06
4,258	0	4,258	2,26E-06
4,259	0	4,259	2,53E-06
4,26	0	4,26	2,69E-06
4,261	0	4,261	2,76E-06
4,262	0	4,262	2,75E-06
4,263	0	4,263	2,64E-06
4,264	0	4,264	2,46E-06
4,265	0	4,265	2,20E-06
4,266	0	4,266	1,87E-06
4,267	0	4,267	1,47E-06
4,268	0	4,268	1,77E-06
4,269	0	4,269	1,98E-06
4,27	0	4,27	2,12E-06
4,271	0	4,271	2,18E-06
4,272	0	4,272	2,17E-06
4,273	0	4,273	2,09E-06
4,274	0	4,274	1,94E-06
4,275	0	4,275	1,73E-06
4,276	0	4,276	1,47E-06
4,277	0	4,277	1,14E-06
4,278	0	4,278	1,39E-06
4,279	0	4,279	1,56E-06
4,28	0	4,28	1,67E-06
4,281	0	4,281	1,73E-06
4,282	0	4,282	1,71E-06
4,283	0	4,283	1,65E-06
4,284	0	4,284	1,53E-06
4,285	0	4,285	1,36E-06
4,286	0	4,286	1,15E-06
4,287	0	4,287	8,88E-07
4,288	0	4,288	1,09E-06
4,289	0	4,289	1,23E-06
4,29	0	4,29	1,32E-06
4,291	0	4,291	1,36E-06
4,292	0	4,292	1,36E-06
4,293	0	4,293	1,30E-06
4,294	0	4,294	1,21E-06
4,295	0	4,295	1,08E-06
4,296	0	4,296	9,02E-07
4,297	0	4,297	6,91E-07
4,298	0	4,298	8,56E-07
4,299	0	4,299	9,72E-07
4,3	0	4,3	1,05E-06
4,301	0	4,301	1,08E-06
4,302	0	4,302	1,08E-06
4,303	0	4,303	1,03E-06
4,304	0	4,304	9,61E-07
4,305	0	4,305	8,50E-07
4,306	0	4,306	7,09E-07
4,307	0	4,307	5,42E-07
4,308	0	4,308	6,75E-07
4,309	0	4,309	7,68E-07
4,31	0	4,31	8,30E-07
4,311	0	4,311	8,59E-07
4,312	0	4,312	8,57E-07
4,313	0	4,313	8,21E-07
4,314	0	4,314	7,61E-07
4,315	0	4,315	6,74E-07
4,316	0	4,316	5,62E-07
4,317	0	4,317	4,26E-07
4,318	0	4,318	5,33E-07
4,319	0	4,319	6,09E-07
4,32	0	4,32	6,61E-07
4,321	0	4,321	6,83E-07
4,322	0	4,322	6,83E-07
4,323	0	4,323	6,56E-07
4,324	0	4,324	6,05E-07
4,325	0	4,325	5,37E-07
4,326	0	4,326	4,44E-07
4,327	0	4,327	3,36E-07
4,328	0	4,328	4,22E-07
4,329	0	4,329	4,88E-07
4,33	0	4,33	5,27E-07
4,331	0	4,331	5,48E-07
4,332	0	4,332	5,45E-07
4,333	0	4,333	5,23E-07
4,334	0	4,334	4,86E-07
4,335	0	4,335	4,27E-07
4,336	0	4,336	3,56E-07
4,337	0	4,337	2,65E-07
4,338	0	4,338	3,39E-07
4,339	0	4,339	3,89E-07
4,34	0	4,34	4,24E-07
4,341	0	4,341	4,39E-07
4,342	0	4,342	4,40E-07
4,343	0	4,343	4,22E-07
4,344	0	4,344	3,92E-07
4,345	0	4,345	3,45E-07
4,346	0	4,346	2,88E-07
4,347	0	4,347	2,14E-07
4,348	0	4,348	2,74E-07
4,349	0	4,349	3,14E-07
4,35	0	4,35	3,43E-07
4,351	0	4,351	3,54E-07
4,352	0	4,352	3,56E-07
4,353	0	4,353	3,44E-07
4,354	0	4,354	3,17E-07
4,355	0	4,355	2,82E-07
4,356	0	4,356	2,32E-07
4,357	0	4,357	1,76E-07
4,358	0	4,358	2,22E-07
4,359	0	4,359	2,59E-07
4,36	0	4,36	2,80E-07
4,361	0	4,361	2,89E-07
4,362	0	4,362	2,92E-07
4,363	0	4,363	2,80E-07
4,364	0	4,364	2,62E-07
4,365	0	4,365	2,31E-07
4,366	0	4,366	1,95E-07
4,367	0	4,367	1,47E-07
4,368	0	4,368	1,84E-07
4,369	0	4,369	2,14E-07
4,37	0	4,37	2,31E-07
4,371	0	4,371	2,43E-07
4,372	0	4,372	2,42E-07
4,373	0	4,373	2,32E-07
4,374	0	4,374	2,18E-07
4,375	0	4,375	1,93E-07
4,376	0	4,376	1,65E-07
4,377	0	4,377	1,26E-07
4,378	0	4,378	1,59E-07
4,379	0	4,379	1,79E-07
4,38	0	4,38	1,96E-07
4,381	0	4,381	2,05E-07
4,382	0	4,382	2,03E-07
4,383	0	4,383	1,98E-07
4,384	0	4,384	1,87E-07
4,385	0	4,385	1,66E-07
4,386	0	4,386	1,42E-07
4,387	0	4,387	1,13E-07
4,388	0	4,388	1,39E-07
4,389	0	4,389	1,58E-07
4,39	0	4,39	1,70E-07
4,391	0	4,391	1,77E-07
4,392	0	4,392	1,77E-07
4,393	0	4,393	1,72E-07
4,394	0	4,394	1,62E-07
4,395	0	4,395	1,47E-07
4,396	0	4,396	1,27E-07
4,397	0	4,397	1,03E-07
4,398	0	4,398	1,26E-07
4,399	0	4,399	1,41E-07
4,4	0	4,4	1,50E-07
4,401	0	4,401	1,58E-07
4,402	0	4,402	1,58E-07
4,403	0	4,403	1,53E-07
4,404	0	4,404	1,48E-07
4,405	0	4,405	1,34E-07
4,406	0	4,406	1,17E-07
4,407	0	4,407	1,01E-07
4,408	0	4,408	1,18E-07
4,409	0	4,409	1,30E-07
4,41	0	4,41	1,39E-07
4,411	0	4,411	1,43E-07
4,412	0	4,412	1,44E-07
4,413	0	4,413	1,41E-07
4,414	0	4,414	1,38E-07
4,415	0	4,415	1,28E-07
4,416	0	4,416	1,15E-07
4,417	0	4,417	9,97E-08
4,418	0	4,418	1,15E-07
4,419	0	4,419	1,26E-07
4,42	0	4,42	1,34E-07
4,421	0	4,421	1,35E-07
4,422	0	4,422	1,37E-07
4,423	0	4,423	1,36E-07
4,424	0	4,424	1,32E-07
4,425	0	4,425	1,25E-07
4,426	0	4,426	1,16E-07
4,427	0	4,427	1,04E-07
4,428	0	4,428	1,13E-07
4,429	0	4,429	1,22E-07
4,43	0	4,43	1,29E-07
4,431	0	4,431	1,33E-07
4,432	0	4,432	1,35E-07
4,433	0	4,433	1,34E-07
4,434	0	4,434	1,31E-07
4,435	0	4,435	1,25E-07
4,436	0	4,436	1,18E-07
4,437	0	4,437	1,09E-07
4,438	0	4,438	1,16E-07
4,439	0	4,439	1,26E-07
4,44	0	4,44	1,32E-07
4,441	0	4,441	1,33E-07
4,442	0	4,442	1,36E-07
4,443	0	4,443	1,36E-07
4,444	0	4,444	1,31E-07
4,445	0	4,445	1,29E-07
4,446	0	4,446	1,24E-07
4,447	0	4,447	1,14E-07
4,448	0	4,448	1,25E-07
4,449	0	4,449	1,31E-07
4,45	0	4,45	1,34E-07
4,451	0	4,451	1,40E-07
4,452	0	4,452	1,40E-07
4,453	0	4,453	1,39E-07
4,454	0	4,454	1,36E-07
4,455	0	4,455	1,36E-07
4,456	0	4,456	1,30E-07
4,457	0	4,457	1,23E-07
4,458	0	4,458	1,30E-07
4,459	0	4,459	1,36E-07
4,46	0	4,46	1,40E-07
4,461	0	4,461	1,42E-07
4,462	0	4,462	1,43E-07
4,463	0	4,463	1,43E-07
4,464	0	4,464	1,46E-07
4,465	0	4,465	1,43E-07
4,466	0	4,466	1,40E-07
4,467	0	4,467	1,35E-07
4,468	0	4,468	1,41E-07
4,469	0	4,469	1,45E-07
4,47	0	4,47	1,49E-07
4,471	0	4,471	1,51E-07
4,472	0	4,472	1,52E-07
4,473	0	4,473	1,52E-07
4,474	0	4,474	1,51E-07
4,475	0	4,475	1,49E-07
4,476	0	4,476	1,46E-07
4,477	0	4,477	1,43E-07
4,478	0	4,478	1,46E-07
4,479	0	4,479	1,48E-07
4,48	0	4,48	1,50E-07
4,481	0	4,481	1,54E-07
4,482	0	4,482	1,53E-07
4,483	0	4,483	1,52E-07
4,484	0	4,484	1,54E-07
4,485	0	4,485	1,51E-07
4,486	0	4,486	1,48E-07
4,487	0	4,487	1,47E-07
4,488	0	4,488	1,50E-07
4,489	0	4,489	1,52E-07
4,49	0	4,49	1,53E-07
4,491	0	4,491	1,54E-07
4,492	0	4,492	1,53E-07
4,493	0	4,493	1,53E-07
4,494	0	4,494	1,51E-07
4,495	0	4,495	1,49E-07
4,496	0	4,496	1,50E-07
4,497	0	4,497	1,47E-07
4,498	0	4,498	1,48E-07
4,499	0	4,499	1,47E-07
4,5	0	4,5	1,50E-07
4,501	0	4,501	1,48E-07
4,502	0	4,502	1,46E-07
4,503	0	4,503	1,44E-07
4,504	0	4,504	1,45E-07
4,505	0	4,505	1,41E-07
4,506	0	4,506	1,37E-07
4,507	0	4,507	1,37E-07
4,508	0	4,508	1,36E-07
4,509	0	4,509	1,35E-07
4,51	0	4,51	1,33E-07
4,511	0	4,511	1,31E-07
4,512	0	4,512	1,28E-07
4,513	0	4,513	1,26E-07
4,514	0	4,514	1,23E-07
4,515	0	4,515	1,19E-07
4,516	0	4,516	1,15E-07
4,517	0	4,517	1,11E-07
4,518	0	4,518	1,07E-07
4,519	0	4,519	1,03E-07
4,52	0	4,52	9,79E-08
4,521	0	4,521	9,29E-08
4,522	0	4,522	8,78E-08
4,523	0	4,523	8,61E-08
4,524	0	4,524	8,05E-08
4,525	0	4,525	7,47E-08
4,526	0	4,526	6,87E-08
4,527	0	4,527	6,26E-08
4,528	0	4,528	5,63E-08
4,529	0	4,529	4,62E-08
4,53	0	4,53	3,97E-08
4,531	0	4,531	3,32E-08
4,532	0	4,532	2,28E-08
4,533	0	4,533	1,62E-08
4,534	0	4,534	5,71E-09
4,535	0	4,535	-1,02E-09
4,536	0	4,536	-7,85E-09
4,537	0	4,537	-1,85E-08
4,538	0	4,538	-2,91E-08
4,539	0	4,539	-4,35E-08
4,54	0	4,54	-5,76E-08
4,541	0	4,541	-7,17E-08
4,542	0	4,542	-8,19E-08
4,543	0	4,543	-9,58E-08
4,544	0	4,544	-1,10E-07
4,545	0	4,545	-1,19E-07
4,546	0	4,546	-1,33E-07
4,547	0	4,547	-1,47E-07
4,548	0	4,548	-1,68E-07
4,549	0	4,549	-1,88E-07
4,55	0	4,55	-2,08E-07
4,551	0	4,551	-2,28E-07
4,552	0	4,552	-2,48E-07
4,553	0	4,553	-2,67E-07
4,554	0	4,554	-2,86E-07
4,555	0	4,555	-3,05E-07
4,556	0	4,556	-3,23E-07
4,557	0	4,557	-3,42E-07
4,558	0	4,558	-3,75E-07
4,559	0	4,559	-4,07E-07
4,56	0	4,56	-4,35E-07
4,561	0	4,561	-4,66E-07
4,562	0	4,562	-4,97E-07
4,563	0	4,563	-5,23E-07
4,564	0	4,564	-5,52E-07
4,565	0	4,565	-5,81E-07
4,566	0	4,566	-6,10E-07
4,567	0	4,567	-6,34E-07
4,568	0	4,568	-6,81E-07
4,569	0	4,569	-7,26E-07
4,57	0	4,57	-7,70E-07
4,571	0	4,571	-8,18E-07
4,572	0	4,572	-8,60E-07
4,573	0	4,573	-9,02E-07
4,574	0	4,574	-9,43E-07
4,575	0	4,575	-9,83E-07
4,576	0	4,576	-1,02E-06
4,577	0	4,577	-1,06E-06
4,578	0	4,578	-9,08E-07
4,579	0	4,579	-7,61E-07
4,58	0	4,58	-6,19E-07
4,581	0	4,581	-4,82E-07
4,582	0	4,582	-3,50E-07
4,583	0	4,583	-2,22E-07
4,584	0	4,584	-9,80E-08
4,585	0	4,585	2,15E-08
4,586	0	4,586	1,37E-07
4,587	0	4,587	2,49E-07
4,588	0	4,588	2,38E-07
4,589	0	4,589	2,27E-07
4,59	0	4,59	2,16E-07
4,591	0	4,591	2,06E-07
4,592	0	4,592	1,96E-07
4,593	0	4,593	1,86E-07
4,594	0	4,594	1,77E-07
4,595	0	4,595	1,68E-07
4,596	0	4,596	1,59E-07
4,597	0	4,597	1,51E-07
4,598	0	4,598	1,43E-07
4,599	0	4,599	1,35E-07
4,6	0	4,6	1,28E-07
4,601	0	4,601	1,21E-07
4,602	0	4,602	1,14E-07
4,603	0	4,603	1,08E-07
4,604	0	4,604	1,02E-07
4,605	0	4,605	9,64E-08
4,606	0	4,606	9,10E-08
4,607	0	4,607	8,59E-08
4,608	0	4,608	8,10E-08
4,609	0	4,609	7,64E-08
4,61	0	4,61	7,21E-08
4,611	0	4,611	6,80E-08
4,612	0	4,612	6,41E-08
4,613	0	4,613	6,04E-08
4,614	0	4,614	5,69E-08
4,615	0	4,615	5,36E-08
4,616	0	4,616	5,05E-08
4,617	0	4,617	4,76E-08
4,618	0	4,618	4,48E-08
4,619	0	4,619	4,22E-08
4,62	0	4,62	3,97E-08
4,621	0	4,621	3,74E-08
4,622	0	4,622	3,52E-08
4,623	0	4,623	3,31E-08
4,624	0	4,624	3,12E-08
4,625	0	4,625	2,93E-08
4,626	0	4,626	2,76E-08
4,627	0	4,627	2,60E-08
4,628	0	4,628	2,44E-08
4,629	0	4,629	2,30E-08
4,63	0	4,63	2,16E-08
4,631	0	4,631	2,03E-08
4,632	0	4,632	1,91E-08
4,633	0	4,633	1,80E-08
4,634	0	4,634	1,69E-08
4,635	0	4,635	1,59E-08
4,636	0	4,636	1,50E-08
4,637	0	4,637	1,41E-08
4,638	0	4,638	1,32E-08
4,639	0	4,639	1,25E-08
4,64	0	4,64	1,17E-08
4,641	0	4,641	1,10E-08
4,642	0	4,642	1,04E-08
4,643	0	4,643	9,74E-09
4,644	0	4,644	9,16E-09
4,645	0	4,645	8,61E-09
4,646	0	4,646	8,10E-09
4,647	0	4,647	7,62E-09
4,648	0	4,648	7,16E-09
4,649	0	4,649	6,73E-09
4,65	0	4,65	6,33E-09
4,651	0	4,651	5,95E-09
4,652	0	4,652	5,60E-09
4,653	0	4,653	5,26E-09
4,654	0	4,654	4,95E-09
4,655	0	4,655	4,65E-09
4,656	0	4,656	4,37E-09
4,657	0	4,657	4,11E-09
4,658	0	4,658	3,86E-09
4,659	0	4,659	3,63E-09
4,66	0	4,66	3,41E-09
4,661	0	4,661	3,21E-09
4,662	0	4,662	3,02E-09
4,663	0	4,663	2,84E-09
4,664	0	4,664	2,67E-09
4,665	0	4,665	2,51E-09
4,666	0	4,666	2,36E-09
4,667	0	4,667	2,22E-09
4,668	0	4,668	2,08E-09
4,669	0	4,669	1,96E-09
4,67	0	4,67	1,84E-09
4,671	0	4,671	1,73E-09
4,672	0	4,672	1,63E-09
4,673	0	4,673	1,53E-09
4,674	0	4,674	1,44E-09
4,675	0	4,675	1,35E-09
4,676	0	4,676	1,27E-09
4,677	0	4,677	1,19E-09
4,678	0	4,678	1,12E-09
4,679	0	4,679	1,05E-09
4,68	0	4,68	9,92E-10
4,681	0	4,681	9,32E-10
4,682	0	4,682	8,76E-10
4,683	0	4,683	8,24E-10
4,684	0	4,684	7,74E-10
4,685	0	4,685	7,28E-10
4,686	0	4,686	6,84E-10
4,687	0	4,687	6,43E-10
4,688	0	4,688	6,05E-10
4,689	0	4,689	5,68E-10
4,69	0	4,69	5,34E-10
4,691	0	4,691	5,02E-10
4,692	0	4,692	4,72E-10
4,693	0	4,693	4,44E-10
4,694	0	4,694	4,17E-10
4,695	0	4,695	3,92E-10
4,696	0	4,696	3,69E-10
4,697	0	4,697	3,46E-10
4,698	0	4,698	3,26E-10
4,699	0	4,699	3,06E-10
4,7	0	4,7	2,88E-10
4,701	0	4,701	2,70E-10
4,702	0	4,702	2,54E-10
4,703	0	4,703	2,39E-10
4,704	0	4,704	2,25E-10
4,705	0	4,705	2,11E-10
4,706	0	4,706	1,98E-10
4,707	0	4,707	1,87E-10
4,708	0	4,708	1,75E-10
4,709	0	4,709	1,65E-10
4,71	0	4,71	1,55E-10
4,711	0	4,711	1,46E-10
4,712	0	4,712	1,37E-10
4,713	0	4,713	1,29E-10
4,714	0	4,714	1,21E-10
4,715	0	4,715	1,14E-10
4,716	0	4,716	1,07E-10
4,717	0	4,717	1,00E-10
4,718	0	4,718	9,45E-11
4,719	0	4,719	8,88E-11
4,72	0	4,72	8,35E-11
4,721	0	4,721	7,85E-11
4,722	0	4,722	7,37E-11
4,723	0	4,723	6,93E-11
4,724	0	4,724	6,52E-11
4,725	0	4,725	6,13E-11
4,726	0	4,726	5,76E-11
4,727	0	4,727	5,41E-11
4,728	0	4,728	5,09E-11
4,729	0	4,729	4,78E-11
4,73	0	4,73	4,50E-11
4,731	0	4,731	4,23E-11
4,732	0	4,732	3,97E-11
4,733	0	4,733	3,73E-11
4,734	0	4,734	3,51E-11
4,735	0	4,735	3,30E-11
4,736	0	4,736	3,10E-11
4,737	0	4,737	2,91E-11
4,738	0	4,738	2,74E-11
4,739	0	4,739	2,58E-11
4,74	0	4,74	2,42E-11
4,741	0	4,741	2,28E-11
4,742	0	4,742	2,14E-11
4,743	0	4,743	2,01E-11
4,744	0	4,744	1,89E-11
4,745	0	4,745	1,78E-11
4,746	0	4,746	1,67E-11
4,747	0	4,747	1,57E-11
4,748	0	4,748	1,48E-11
4,749	0	4,749	1,39E-11
4,75	0	4,75	1,30E-11
4,751	0	4,751	1,23E-11
4,752	0	4,752	1,15E-11
4,753	0	4,753	1,08E-11
4,754	0	4,754	1,02E-11
4,755	0	4,755	9,57E-12
4,756	0	4,756	8,99E-12
4,757	0	4,757	8,45E-12
4,758	0	4,758	7,95E-12
4,759	0	4,759	7,47E-12
4,76	0	4,76	7,02E-12
4,761	0	4,761	6,60E-12
4,762	0	4,762	6,20E-12
4,763	0	4,763	5,83E-12
4,764	0	4,764	5,48E-12
4,765	0	4,765	5,15E-12
4,766	0	4,766	4,84E-12
4,767	0	4,767	4,55E-12
4,768	0	4,768	4,28E-12
4,769	0	4,769	4,02E-12
4,77	0	4,77	3,78E-12
4,771	0	4,771	3,55E-12
4,772	0	4,772	3,34E-12
4,773	0	4,773	3,14E-12
4,774	0	4,774	2,95E-12
4,775	0	4,775	2,77E-12
4,776	0	4,776	2,61E-12
4,777	0	4,777	2,45E-12
4,778	0	4,778	2,30E-12
4,779	0	4,779	2,17E-12
4,78	0	4,78	2,04E-12
4,781	0	4,781	1,91E-12
4,782	0	4,782	1,80E-12
4,783	0	4,783	1,69E-12
4,784	0	4,784	1,59E-12
4,785	0	4,785	1,49E-12
4,786	0	4,786	1,40E-12
4,787	0	4,787	1,32E-12
4,788	0	4,788	1,24E-12
4,789	0	4,789	1,17E-12
4,79	0	4,79	1,10E-12
4,791	0	4,791	1,03E-12
4,792	0	4,792	9,69E-13
4,793	0	4,793	9,11E-13
4,794	0	4,794	8,56E-13
4,795	0	4,795	8,05E-13
4,796	0	4,796	7,57E-13
4,797	0	4,797	7,11E-13
4,798	0	4,798	6,69E-13
4,799	0	4,799	6,29E-13
4,8	0	4,8	5,91E-13
4,801	0	4,801	5,56E-13
4,802	0	4,802	5,23E-13
4,803	0	4,803	4,91E-13
4,804	0	4,804	4,62E-13
4,805	0	4,805	4,35E-13
4,806	0	4,806	4,08E-13
4,807	0	4,807	3,84E-13
4,808	0	4,808	3,61E-13
4,809	0	4,809	3,39E-13
4,81	0	4,81	3,19E-13
4,811	0	4,811	3,00E-13
4,812	0	4,812	2,82E-13
4,813	0	4,813	2,64E-13
4,814	0	4,814	2,48E-13
4,815	0	4,815	2,33E-13
4,816	0	4,816	2,19E-13
4,817	0	4,817	2,06E-13
4,818	0	4,818	1,94E-13
4,819	0	4,819	1,82E-13
4,82	0	4,82	1,71E-13
4,821	0	4,821	1,60E-13
4,822	0	4,822	1,50E-13
4,823	0	4,823	1,41E-13
4,824	0	4,824	1,32E-13
4,825	0	4,825	1,24E-13
4,826	0	4,826	1,16E-13
4,827	0	4,827	1,08E-13
4,828	0	4,828	1,01E-13
4,829	0	4,829	9,49E-14
4,83	0	4,83	8,88E-14
4,831	0	4,831	8,32E-14
4,832	0	4,832	7,80E-14
4,833	0	4,833	7,32E-14
4,834	0	4,834	6,88E-14
4,835	0	4,835	6,48E-14
4,836	0	4,836	6,09E-14
4,837	0	4,837	5,71E-14
4,838	0	4,838	5,36E-14
4,839	0	4,839	5,03E-14
4,84	0	4,84	4,71E-14
4,841	0	4,841	4,39E-14
4,842	0	4,842	4,11E-14
4,843	0	4,843	3,84E-14
4,844	0	4,844	3,58E-14
4,845	0	4,845	3,33E-14
4,846	0	4,846	3,10E-14
4,847	0	4,847	2,89E-14
4,848	0	4,848	2,68E-14
4,849	0	4,849	2,48E-14
4,85	0	4,85	2,28E-14
4,851	0	4,851	2,09E-14
4,852	0	4,852	1,91E-14
4,853	0	4,853	1,75E-14
4,854	0	4,854	1,60E-14
4,855	0	4,855	1,45E-14
4,856	0	4,856	1,31E-14
4,857	0	4,857	1,18E-14
4,858	0	4,858	1,04E-14
4,859	0	4,859	9,16E-15
4,86	0	4,86	7,91E-15
4,861	0	4,861	6,70E-15
4,862	0	4,862	5,77E-15
4,863	0	4,863	4,87E-15
4,864	0	4,864	4,00E-15
4,865	0	4,865	3,15E-15
4,866	0	4,866	2,33E-15
4,867	0	4,867	1,53E-15
4,868	0	4,868	7,63E-16
4,869	0	4,869	1,54E-17
4,87	0	4,87	-7,10E-16
4,871	0	4,871	-1,41E-15
4,872	0	4,872	-2,09E-15
4,873	0	4,873	-2,75E-15
4,874	0	4,874	-3,39E-15
4,875	0	4,875	-4,02E-15
4,876	0	4,876	-4,62E-15
4,877	0	4,877	-5,20E-15
4,878	0	4,878	-5,77E-15
4,879	0	4,879	-6,07E-15
4,88	0	4,88	-6,37E-15
4,881	0	4,881	-6,66E-15
4,882	0	4,882	-6,94E-15
4,883	0	4,883	-7,21E-15
4,884	0	4,884	-7,47E-15
4,885	0	4,885	-7,73E-15
4,886	0	4,886	-7,97E-15
4,887	0	4,887	-8,21E-15
4,888	0	4,888	-8,44E-15
4,889	0	4,889	-8,67E-15
4,89	0	4,89	-8,89E-15
4,891	0	4,891	-9,10E-15
4,892	0	4,892	-9,30E-15
4,893	0	4,893	-9,50E-15
4,894	0	4,894	-9,69E-15
4,895	0	4,895	-9,88E-15
4,896	0	4,896	-1,01E-14
4,897	0	4,897	-1,02E-14
4,898	0	4,898	-1,04E-14
4,899	0	4,899	-1,06E-14
4,9	0	4,9	-1,07E-14
4,901	0	4,901	-1,09E-14
4,902	0	4,902	-1,10E-14
4,903	0	4,903	-1,12E-14
4,904	0	4,904	-1,13E-14
4,905	0	4,905	-1,15E-14
4,906	0	4,906	-1,16E-14
4,907	0	4,907	-1,17E-14
4,908	0	4,908	-1,18E-14
4,909	0	4,909	-1,20E-14
4,91	0	4,91	-1,21E-14
4,911	0	4,911	-1,22E-14
4,912	0	4,912	-1,23E-14
4,913	0	4,913	-1,24E-14
4,914	0	4,914	-1,25E-14
4,915	0	4,915	-1,26E-14
4,916	0	4,916	-1,27E-14
4,917	0	4,917	-1,28E-14
4,918	0	4,918	-1,29E-14
4,919	0	4,919	-1,30E-14
4,92	0	4,92	-1,31E-14
4,921	0	4,921	-1,32E-14
4,922	0	4,922	-1,32E-14
4,923	0	4,923	-1,33E-14
4,924	0	4,924	-1,34E-14
4,925	0	4,925	-1,35E-14
